Date,ULIMS #,Technician,System,Type,Test,Sample ID,Comments,RoomTemp,RoomHum,ChamberTemp,ChamberHum,Channel,IL_850,IL_1300,IL_1310,IL_1490,IL_1550,IL_1625,RL1_850,RL1_1300,RL1_1310,RL1_1490,RL1_1550,RL1_1625,RL2_850,RL2_1300,RL2_1310,RL2_1490,RL2_1550,RL2_1625,Loc1_850,Loc1_1300,Loc1_1310,Loc1_1490,Loc1_1550,Loc1_1625,Loc2_850,Loc2_1300,Loc2_1310,Loc2_1490,Loc2_1550,Loc2_1625,EOF_850,EOF_1300,EOF_1310,EOF_1490,EOF_1550,EOF_1625,
11/25/2019 12:54:44 PM,50062,"Seifert, Tom",S1,Initial,,,,23,23,,,1,,,,,,,,,70.632,,,,,,,,,,,,7.41,,,,,,,,,,,,7.43,,,,
11/25/2019 12:55:00 PM,50062,"Seifert, Tom",S1,Initial,,,,23,23,,,1,,,,,,,,,70.302,,,,,,,,,,,,7.41,,,,,,,,,,,,7.43,,,,
11/25/2019 12:55:16 PM,50062,"Seifert, Tom",S1,Initial,,,,23,23,,,1,,,,,,,,,70.395,,,,,,,,,,,,7.41,,,,,,,,,,,,7.43,,,,
11/25/2019 12:55:32 PM,50062,"Seifert, Tom",S1,Initial,,,,23,23,,,1,,,,,,,,,70.478,,,,,,,,,,,,7.41,,,,,,,,,,,,7.43,,,,
11/25/2019 12:55:48 PM,50062,"Seifert, Tom",S1,Initial,,,,23,23,,,1,,,,,,,,,70.671,,,,,,,,,,,,7.41,,,,,,,,,,,,7.39,,,,
11/25/2019 12:56:04 PM,50062,"Seifert, Tom",S1,Initial,,,,23,23,,,1,,,,,,,,,70.277,,,,,,,,,,,,7.41,,,,,,,,,,,,7.43,,,,
11/25/2019 12:56:20 PM,50062,"Seifert, Tom",S1,Initial,,,,23,23,,,1,,,,,,,,,70.729,,,,,,,,,,,,7.41,,,,,,,,,,,,7.43,,,,
11/25/2019 12:56:36 PM,50062,"Seifert, Tom",S1,Initial,,,,23,23,,,1,,,,,,,,,70.364,,,,,,,,,,,,7.41,,,,,,,,,,,,7.39,,,,
11/25/2019 12:56:52 PM,50062,"Seifert, Tom",S1,Initial,,,,23,23,,,1,,,,,,,,,70.51,,,,,,,,,,,,7.41,,,,,,,,,,,,7.43,,,,
11/25/2019 12:57:08 PM,50062,"Seifert, Tom",S1,Initial,,,,23,23,,,1,,,,,,,,,70.127,,,,,,,,,,,,7.41,,,,,,,,,,,,7.43,,,,
11/25/2019 12:57:24 PM,50062,"Seifert, Tom",S1,Initial,,,,23,23,,,1,,,,,,,,,70.439,,,,,,,,,,,,7.41,,,,,,,,,,,,7.43,,,,
11/25/2019 12:57:40 PM,50062,"Seifert, Tom",S1,Initial,,,,23,23,,,1,,,,,,,,,70.514,,,,,,,,,,,,7.41,,,,,,,,,,,,7.43,,,,
11/25/2019 12:57:56 PM,50062,"Seifert, Tom",S1,Initial,,,,23,23,,,1,,,,,,,,,70.366,,,,,,,,,,,,7.41,,,,,,,,,,,,7.39,,,,
11/25/2019 12:58:12 PM,50062,"Seifert, Tom",S1,Initial,,,,23,23,,,1,,,,,,,,,70.963,,,,,,,,,,,,7.41,,,,,,,,,,,,7.43,,,,
11/25/2019 12:58:28 PM,50062,"Seifert, Tom",S1,Initial,,,,23,23,,,1,,,,,,,,,70.512,,,,,,,,,,,,7.41,,,,,,,,,,,,7.43,,,,
11/25/2019 12:58:44 PM,50062,"Seifert, Tom",S1,Initial,,,,23,23,,,1,,,,,,,,,70.041,,,,,,,,,,,,7.41,,,,,,,,,,,,7.43,,,,
11/25/2019 12:59:00 PM,50062,"Seifert, Tom",S1,Initial,,,,23,23,,,1,,,,,,,,,70.989,,,,,,,,,,,,7.41,,,,,,,,,,,,7.39,,,,
11/25/2019 12:59:16 PM,50062,"Seifert, Tom",S1,Initial,,,,23,23,,,1,,,,,,,,,70.564,,,,,,,,,,,,7.41,,,,,,,,,,,,7.43,,,,
11/25/2019 12:59:32 PM,50062,"Seifert, Tom",S1,Initial,,,,23,23,,,1,,,,,,,,,70.543,,,,,,,,,,,,7.41,,,,,,,,,,,,7.43,,,,
11/25/2019 12:59:48 PM,50062,"Seifert, Tom",S1,Initial,,,,23,23,,,1,,,,,,,,,70.606,,,,,,,,,,,,7.41,,,,,,,,,,,,7.39,,,,
11/25/2019 1:00:04 PM,50062,"Seifert, Tom",S1,Initial,,,,23,23,,,1,,,,,,,,,70.155,,,,,,,,,,,,7.41,,,,,,,,,,,,7.43,,,,
11/25/2019 1:00:20 PM,50062,"Seifert, Tom",S1,Initial,,,,23,23,,,1,,,,,,,,,70.667,,,,,,,,,,,,7.41,,,,,,,,,,,,7.43,,,,
11/25/2019 1:00:36 PM,50062,"Seifert, Tom",S1,Initial,,,,23,23,,,1,,,,,,,,,70.648,,,,,,,,,,,,7.41,,,,,,,,,,,,7.43,,,,
11/25/2019 1:00:52 PM,50062,"Seifert, Tom",S1,Initial,,,,23,23,,,1,,,,,,,,,70.337,,,,,,,,,,,,7.41,,,,,,,,,,,,7.43,,,,
11/25/2019 1:01:08 PM,50062,"Seifert, Tom",S1,Initial,,,,23,23,,,1,,,,,,,,,70.297,,,,,,,,,,,,7.41,,,,,,,,,,,,7.47,,,,
